X, Result
-3.141592653589793,NaN
-2.9845130209103035,-116274.3773526258
-2.827433388230814,-2772.0359037992816
-2.670353755551324,-320.8084287589111
-2.5132741228718345,-59.122645361923176
-2.356194490192345,-2.4136353509863193
-2.199114857512855,29.071349894105843
-2.0420352248333655,105.37861605389477
-1.8849555921538759,589.2814942090752
-1.7278759594743862,11016.812927210996
-1.5707963267948966,NaN
-1.413716694115407,15555.537048313514
-1.2566370614359172,1128.981702004451
-1.0995574287564276,256.62363981366957
-0.9424777960769379,94.43848493433738
-0.7853981633974483,43.919721677742935
-0.6283185307179586,9.455796662936278
-0.47123889803846897,-110.3710009666506
-0.3141592653589793,-1487.1213833150175
-0.15707963267948966,-85262.3196744496
0.0,NaN
0.15707963267948966,30.63292849160905
0.3141592653589793,3.593757188880732
0.47123889803846897,0.2008965274886716
0.6283185307179586,-0.15041200856748782
0.7853981633974483,-0.06825832294663278
0.9424777960769379,-0.004683458757806991
